
[1mRooFit v3.60 -- Developed by Wouter Verkerke and David Kirkby[0m 
                Copyright (C) 2000-2013 NIKHEF, University of California & Stanford University
                All rights reserved, please read http://roofit.sourceforge.net/license.txt

 10 ./Templater
 10 -in
 10 -conf
 10 -flag
 10 -mc
 10 -ff
Configuring
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyTauCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: applyBMCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 1 :: for param :: applyIsoCut
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMass
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 11 :: for param :: nBinsQsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 10 :: for param :: nBinsEmu
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 20 :: for param :: nBinsMMsq
 ::: Setting Fit Parameters from config/config_NorBin_IsoPIDCut_Q2.txt file ::: 
Read value :: 0 :: for param :: doPhiPi
Setting output 
 Entering Do Template 
-------------------------
Set LHCb Style - Feb 2012
-------------------------
Going to write output file :: output/RootOutp_MCAll_bin0_NorBIsoPIDCutBuD0Ds_Weight.root
 /afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root
TFile**		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root	
 TFile*		/afs/cern.ch/user/r/rvazquez/RDS/DaVinciDev_v41r3/Phys/BsDsMuNuForRDS/src/DsMass_WithSWeighted_Dsst_BuDD_NoCL_CB_Sim09b.root	
  KEY: TTree	DecayTree;1	tree with weights
nentries = 1613
With weight = ( McorrDsst > 3000 && McorrDsst < 8000 && (Ds_MM>1940 && Ds_MM<2000) && sq > 0. && ( Kpl_P>5000 && Kmi_P>5000 && pi_P>5000 && (Kpl_PT>800 || Kmi_PT>800 || pi_PT>800) && Ds_PT>2000 && Bs_0_BDTS_DOCA<0.50 && Bs_0_FDCHI2_TOPPV>50 && 1940<Ds_MM && 2000>Ds_MM  )  && ( mu_PIDmu > 0) && (mu_iso_MinBDT_Long>-0.5) )*sigw
1613
--- ... Processing event: 0
mass 5682.6, q2 2.15797e+06
mass 4683.4, q2 3.33658e+06
mass 4573.88, q2 2.22117e+06
mass 4498.25, q2 1.062e+06
mass 4793.6, q2 5.29458e+06
mass 4062, q2 847213
mass 3711.51, q2 917709
mass 3825.9, q2 2.33395e+06
mass 4444.3, q2 1.7249e+06
mass 5089.31, q2 1.16443e+06
mass 3982.05, q2 2.41916e+06
mass 4185.96, q2 5.88511e+06
mass 3823.76, q2 3.21428e+06
mass 4841.47, q2 185940
mass 4149.91, q2 7.44873e+06
mass 5083.73, q2 1.29751e+06
mass 4491.64, q2 660800
mass 4187.44, q2 7.249e+06
mass 4176.15, q2 3.20737e+06
mass 4051.85, q2 2.3422e+06
mass 4008.6, q2 1.90368e+06
mass 4130.18, q2 1.71792e+06
mass 4948.7, q2 2.07838e+06
mass 3552.96, q2 970200
mass 5544.77, q2 60854.8
mass 4435.22, q2 709049
mass 3540.35, q2 9.34047e+06
mass 4590.72, q2 489188
mass 3584.09, q2 3.63133e+06
mass 3805.62, q2 1.0302e+06
mass 3429.81, q2 8.69176e+06
mass 3311.29, q2 1.86004e+06
mass 4097.53, q2 558004
mass 5380.84, q2 608466
mass 5102.26, q2 2.12081e+06
mass 4612.54, q2 4.20444e+06
mass 4528.83, q2 2.08557e+06
mass 4582.8, q2 1.82989e+06
mass 3381.88, q2 2.26232e+06
mass 4279.87, q2 6.41004e+06
mass 4406.99, q2 3.7296e+06
mass 3554.08, q2 2.07578e+06
mass 4221.39, q2 1.58474e+06
mass 4225.84, q2 7.33084e+06
mass 4299.65, q2 3.07931e+06
mass 5233.72, q2 3.23966e+06
mass 4647.86, q2 1.06808e+06
mass 4689.91, q2 1.55884e+06
mass 4797.34, q2 4.94954e+06
mass 4265.01, q2 702762
mass 3653.62, q2 698814
mass 4487.78, q2 3.46331e+06
mass 4536.53, q2 6.43885e+06
mass 4279.05, q2 2.09513e+06
mass 4327.19, q2 1.36404e+06
mass 4996.22, q2 431401
mass 4698.85, q2 2.76391e+06
mass 4839.81, q2 8.16058e+06
mass 3843.44, q2 1.73426e+06
mass 3612.78, q2 6.73461e+06
mass 4691.83, q2 2.32597e+06
mass 4581.3, q2 926496
mass 4417.53, q2 1.78081e+06
mass 3666.69, q2 829758
mass 4719.14, q2 1.78213e+06
mass 4206.01, q2 4.36592e+06
mass 4764.27, q2 229534
mass 4619.01, q2 3.83195e+06
mass 5037.02, q2 1.0866e+06
mass 4812.23, q2 5.88431e+06
mass 4141.64, q2 879158
mass 4311.24, q2 691779
mass 6012.41, q2 210785
mass 3842.53, q2 6.21416e+06
mass 4308.36, q2 6.7806e+06
mass 4731.79, q2 6.46026e+06
mass 5588.2, q2 3.10515e+06
mass 5368.29, q2 2.0138e+06
mass 3871.04, q2 8.74315e+06
mass 3797.38, q2 6.12966e+06
mass 4745.42, q2 2.2056e+06
mass 4637.69, q2 738406
mass 4832, q2 4.37332e+06
mass 5311.24, q2 1.49549e+06
mass 3717.24, q2 3.73628e+06
mass 6463.43, q2 -3.52988e+06
mass 4135.07, q2 7.71743e+06
mass 4661.5, q2 229641
mass 4768.58, q2 1.18754e+06
mass 4358.45, q2 6.97006e+06
mass 4580.64, q2 2.77822e+06
mass 4452.51, q2 3.08827e+06
mass 3998.62, q2 1.89906e+06
mass 4616.89, q2 3.57909e+06
mass 4321.71, q2 2.93626e+06
mass 5028.41, q2 3.11365e+06
mass 4706.82, q2 1.79885e+06
mass 4291.18, q2 3.5764e+06
mass 3510.72, q2 2.16651e+06
mass 3932.6, q2 1.1835e+06
mass 3951.17, q2 7.14186e+06
mass 3505.32, q2 2.78167e+06
mass 4589.46, q2 1.20497e+06
mass 4435.33, q2 1.2831e+06
mass 4092.33, q2 6.3219e+06
mass 4494.59, q2 5.43668e+06
mass 4857.01, q2 2.56167e+06
mass 3725.04, q2 3.03192e+06
mass 4614.27, q2 2.24174e+06
mass 5141.68, q2 2.85258e+06
mass 3720.65, q2 1.88652e+06
mass 3568.9, q2 1.82072e+06
mass 4414.53, q2 1.27674e+06
mass 5008.38, q2 2.28165e+06
mass 5003.16, q2 2.05674e+06
mass 3423.31, q2 657962
mass 5329.57, q2 1.49448e+06
mass 4197.14, q2 173121
mass 4225.57, q2 2.7593e+06
mass 4362.67, q2 1.02658e+07
mass 3582.09, q2 849198
mass 5275.71, q2 1.78408e+06
mass 4376.08, q2 4.02474e+06
mass 5620.8, q2 -793517
mass 4773.39, q2 2.37112e+06
mass 4720.16, q2 3.76663e+06
mass 4783.41, q2 3.23032e+06
mass 4200.04, q2 7.87508e+06
mass 4793.36, q2 1.07088e+06
mass 4830.99, q2 1.25231e+06
mass 5169.89, q2 3.58174e+06
mass 4714.74, q2 2.21797e+06
mass 4491.28, q2 479754
mass 4598.25, q2 4.78811e+06
mass 5399.28, q2 2.29002e+06
mass 4910.06, q2 2.11851e+06
mass 5725.57, q2 -1.4145e+06
mass 4253.65, q2 4.43865e+06
mass 4032.05, q2 959300
mass 4397.64, q2 4.45715e+06
mass 4884.07, q2 4.95237e+06
mass 5030.37, q2 3.11654e+06
mass 4434.37, q2 3.03561e+06
mass 3660.65, q2 810286
mass 3535.45, q2 4.00575e+06
mass 3479.63, q2 2.38071e+06
mass 3409.17, q2 1.04243e+06
mass 4554.63, q2 2.39828e+06
mass 5087.36, q2 2.19228e+06
mass 4320.03, q2 3.67497e+06
mass 4597.73, q2 1.64973e+06
mass 4555.75, q2 1.31547e+06
mass 3776.45, q2 2.73755e+06
mass 3628.25, q2 1.63288e+06
mass 4075.97, q2 2.09036e+06
mass 4666.58, q2 3.5303e+06
mass 4248.09, q2 2.78081e+06
mass 4691.96, q2 250323
mass 3836.2, q2 1.44655e+06
mass 3230.57, q2 2.07497e+06
mass 3945.82, q2 6.29205e+06
mass 3907.43, q2 994450
mass 5654.27, q2 191434
mass 4777.09, q2 2.35568e+06
mass 4572.72, q2 3.74485e+06
mass 4927.17, q2 3.29266e+06
mass 4024.51, q2 1.37885e+06
mass 4010.05, q2 4.71644e+06
mass 4442.37, q2 1.89161e+06
mass 3894.44, q2 2.70492e+06
mass 5012.16, q2 8.3587e+06
mass 4475.84, q2 2.52123e+06
mass 4620.93, q2 1.0095e+06
mass 5389.35, q2 4.65322e+06
mass 3767.04, q2 3.60107e+06
mass 4228.81, q2 2.81455e+06
mass 4368.13, q2 1.28958e+06
mass 4012.95, q2 1.56405e+06
mass 4365.77, q2 309084
mass 4803.19, q2 1.08039e+06
mass 3587.17, q2 3.22972e+06
mass 4226.87, q2 5.83633e+06
mass 3728.27, q2 2.19941e+06
mass 4439.62, q2 2.00855e+06
mass 4791.85, q2 423121
mass 4109.5, q2 3.12814e+06
mass 3913.62, q2 749242
mass 4144.62, q2 2.37236e+06
mass 4737.84, q2 1.75311e+06
mass 3858.29, q2 9.20539e+06
mass 3511.27, q2 1.63044e+06
mass 5875.04, q2 5.5151e+06
mass 4370.01, q2 1.39602e+06
mass 4629.01, q2 2.88251e+06
mass 4456.11, q2 2.17447e+06
mass 4027.15, q2 1.22409e+06
mass 4505.13, q2 4.15973e+06
mass 4366.08, q2 3.4302e+06
mass 4943.23, q2 2.03438e+06
mass 4012.66, q2 1.68435e+06
mass 5742.85, q2 598027
mass 4573.51, q2 1.32895e+06
mass 4561.29, q2 2.79753e+06
mass 5149.1, q2 1.23766e+06
mass 5044.94, q2 3.47397e+06
mass 4041.22, q2 1.69344e+06
mass 5181.91, q2 8.5454e+06
mass 4281.01, q2 4.36485e+06
mass 4513.05, q2 5.39014e+06
mass 3506.96, q2 1.17026e+06
mass 3672.98, q2 2.17536e+06
mass 4554.8, q2 3.74701e+06
mass 3714.86, q2 1.53003e+06
mass 4793.57, q2 3.16556e+06
mass 4305.66, q2 1.22323e+06
mass 4647.57, q2 2.39377e+06
mass 4379.81, q2 814261
mass 5531.23, q2 8.78641e+06
mass 5189.9, q2 2.77286e+06
mass 4191.6, q2 9.64126e+06
mass 3411.32, q2 269367
mass 4858.41, q2 3.75891e+06
mass 4601.47, q2 1.85587e+06
mass 4476.57, q2 4.26059e+06
mass 4307.03, q2 2.12477e+06
mass 4365.76, q2 3.16413e+06
mass 4286.35, q2 6.33608e+06
mass 4253.42, q2 4.3526e+06
mass 4890.79, q2 2.95525e+06
mass 4300.45, q2 1.40787e+06
mass 3080.7, q2 2.68194e+06
mass 5560.8, q2 1.72844e+06
mass 5073.74, q2 1.78436e+06
mass 3834.57, q2 7.4621e+06
mass 4182.83, q2 1.11449e+06
mass 5094.08, q2 465592
mass 4205.13, q2 653980
mass 4156.72, q2 1.38438e+06
mass 4463.18, q2 2.24982e+06
mass 4750.53, q2 5.42096e+06
mass 4655.86, q2 1.94283e+06
mass 4672.74, q2 4.23533e+06
mass 4598.55, q2 4.02343e+06
mass 4342.09, q2 2.79159e+06
mass 4591, q2 4.09919e+06
mass 5760.39, q2 7.62579e+06
mass 4349.37, q2 2.6869e+06
mass 5014.67, q2 780103
mass 4729.57, q2 2.19108e+06
mass 3630.41, q2 1.85982e+06
mass 3470.7, q2 2.58499e+06
mass 5693.11, q2 1.46478e+06
mass 3455.45, q2 1.7615e+06
mass 3901.86, q2 1.23719e+06
mass 4558.28, q2 1.26665e+06
mass 4065.77, q2 4.51416e+06
mass 4338.56, q2 1.29325e+06
mass 4509.62, q2 5.22286e+06
mass 4292, q2 1.46247e+06
mass 4268.9, q2 6.20992e+06
mass 4361, q2 1.42047e+06
mass 4401.4, q2 1.69064e+06
mass 4568.91, q2 3.64726e+06
mass 4330.08, q2 6.06756e+06
mass 5151.82, q2 2.09677e+06
mass 4662.49, q2 2.16782e+06
mass 4620.48, q2 125958
mass 3715.18, q2 2.93371e+06
mass 4534.16, q2 3.66607e+06
mass 3694.08, q2 1.73047e+06
mass 3186.43, q2 581956
mass 5172.22, q2 1.86085e+06
mass 4985.25, q2 4.99982e+06
mass 3795.42, q2 4.46465e+06
mass 4119.13, q2 3.29378e+06
mass 4074.2, q2 671023
mass 3984.36, q2 8.07289e+06
mass 4287.89, q2 3.95616e+06
mass 3686.12, q2 2.65862e+06
mass 4852.64, q2 786867
mass 4468.99, q2 688060
mass 4183.67, q2 5.99866e+06
mass 5534.4, q2 -259479
mass 4641.65, q2 3.05951e+06
mass 4447.89, q2 6.32424e+06
mass 4798.8, q2 1.27943e+06
mass 4040.36, q2 5.64888e+06
mass 5488.97, q2 1.62825e+06
mass 3616.52, q2 2.59382e+06
mass 4444.99, q2 847104
mass 4422.39, q2 1.03532e+06
mass 5338.02, q2 2.2194e+06
mass 3738.47, q2 1.42651e+06
mass 3289.37, q2 3.50743e+06
mass 5598.39, q2 1.65363e+06
mass 5188.58, q2 964095
mass 4655.77, q2 4.85855e+06
mass 4759.79, q2 4.01157e+06
mass 4398.19, q2 8.32761e+06
mass 4815.92, q2 1.64941e+06
mass 3699.93, q2 1.02403e+06
mass 4022.47, q2 4.23374e+06
mass 4135.23, q2 3.20503e+06
mass 4566.96, q2 2.27164e+06
mass 4898.6, q2 2.35988e+06
mass 4857.26, q2 3.10758e+06
mass 3730.03, q2 2.12471e+06
mass 4679.02, q2 6.56973e+06
mass 5108.96, q2 2.45882e+06
mass 4940.34, q2 3.88133e+06
mass 4331.06, q2 2.26607e+06
mass 3211.56, q2 1.8253e+06
mass 4183.53, q2 2.44353e+06
mass 4571.1, q2 2.22244e+06
mass 3909.88, q2 1.93324e+06
mass 4800.03, q2 3.6489e+06
mass 4616.62, q2 359668
mass 4267.17, q2 2.85751e+06
mass 4408.26, q2 4.36885e+06
mass 4542.27, q2 4.52254e+06
mass 3385.02, q2 1.8059e+06
mass 4330.7, q2 5.7014e+06
mass 4382.86, q2 8.13348e+06
mass 4914.14, q2 3.5382e+06
mass 3393.81, q2 1.48234e+06
mass 3266.4, q2 1.6299e+06
mass 4443.62, q2 4.61445e+06
mass 4434.41, q2 3.4501e+06
mass 5103.52, q2 3.41009e+06
mass 4739.44, q2 3.90601e+06
mass 4189.97, q2 5.64478e+06
mass 3283.09, q2 1.08862e+06
mass 3874.25, q2 2.49504e+06
mass 3591.2, q2 602563
mass 5063.18, q2 242392
mass 4457.57, q2 2.38731e+06
mass 3502.12, q2 279156
mass 3830.22, q2 1.05024e+06
mass 4109.76, q2 6.49895e+06
mass 3300.2, q2 1.31273e+06
mass 4987.68, q2 4.29025e+06
mass 3586.52, q2 1.29739e+06
mass 4906.17, q2 1.29332e+06
mass 3732.94, q2 2.11462e+06
mass 3595.8, q2 1.98328e+06
mass 4883.46, q2 256673
mass 4122.53, q2 5.20957e+06
mass 5005.95, q2 3.79431e+06
mass 3629.65, q2 739295
mass 4834.26, q2 3.00337e+06
mass 5142.15, q2 1.40352e+06
mass 3579.15, q2 3.46157e+06
mass 4326.91, q2 2.94003e+06
mass 4211.34, q2 1.84205e+06
mass 4253.23, q2 2.24298e+06
mass 4402.97, q2 9.7873e+06
mass 4409.54, q2 1.08762e+06
mass 5260.25, q2 7.13874e+06
mass 4802.55, q2 6.0641e+06
mass 4060.33, q2 1.2901e+06
mass 3720.96, q2 939976
mass 4750.35, q2 250885
mass 3829.35, q2 522580
mass 5129, q2 774505
mass 4134.82, q2 1.07465e+06
mass 5593.39, q2 -195113
mass 4431.73, q2 2.07903e+06
mass 4609.94, q2 952275
mass 3560.56, q2 2.27748e+06
mass 4690.11, q2 1.49393e+06
mass 4612.66, q2 1.38341e+06
mass 4678.01, q2 1.52735e+06
mass 4739.77, q2 2.48489e+06
mass 4279.54, q2 2.39509e+06
mass 3689.02, q2 5.68928e+06
mass 4686.41, q2 2.92902e+06
mass 4219.83, q2 923295
mass 3444.15, q2 2.77996e+06
mass 4535.55, q2 1.27193e+06
mass 4517.2, q2 4.58979e+06
mass 3984.97, q2 8.69781e+06
mass 4348.98, q2 2.15121e+06
mass 4338.17, q2 3.37899e+06
mass 4762.55, q2 1.51871e+06
mass 3701.76, q2 2.77164e+06
mass 4722.71, q2 4.35933e+06
mass 5064.94, q2 199004
mass 4474.71, q2 2.81651e+06
mass 4666.11, q2 868763
mass 4946.84, q2 2.18653e+06
mass 4458.76, q2 7.14968e+06
mass 3593.84, q2 1.59363e+06
mass 3750.25, q2 914132
mass 4551.08, q2 6.24343e+06
mass 3617.2, q2 3.02699e+06
mass 5620.82, q2 1.79627e+06
mass 4123.47, q2 6.65283e+06
mass 3924.61, q2 2.56106e+06
mass 4262.16, q2 7.75775e+06
mass 4278.34, q2 6.28359e+06
mass 5780.4, q2 -1.25351e+06
mass 4150.34, q2 2.54018e+06
mass 4339.82, q2 2.51809e+06
mass 3829.65, q2 6.62752e+06
mass 3166.98, q2 8.06285e+06
