CLs_exp_b_m1	CLs_exp_b_med	CLs_exp_b_m2	chi2	CLb_exp_s_m2	ts	CLb	CLb_exp_s_p2	CLb_exp_s_m1	CLsb	CLb_exp_s_p1	BR	CLs_exp_b_p2	CLb_exp_s_med	CLs_exp_b_p1	CLs
0.136580952381	0.031864	0.423320542338	0.0	0.999972	-20.4803481456	0.999688	0.56232	0.999326	0.890072	0.887172	1.8501	0.00237362637363	0.986806	0.0073625	0.890349789134
0.124369047619	0.028276	0.398966487593	0.0	0.999996	-20.672893034	0.999728	0.582096	0.99943	0.880538	0.897946	1.9001	0.00184615384615	0.988774	0.0059625	0.880777571499
0.115235714286	0.0253	0.38160552571	0.0	0.999996	-20.8560587736	0.999694	0.601098	0.999524	0.87029	0.905598	1.9501	0.000703296703297	0.990028	0.0048	0.870556390255
0.105214285714	0.02264	0.362586850857	0.0	0.999994	-21.0301410711	0.999702	0.619568	0.999598	0.858892	0.914062	2.0001	0.00167032967033	0.99125	0.004175	0.859148026112
0.0964785714286	0.019976	0.346644154515	0.0	0.999998	-21.195420345	0.999728	0.640302	0.9997	0.846774	0.921312	2.0501	0.000351648351649	0.992298	0.0036875	0.847004385193
0.0886880952381	0.017672	0.32463136352	0.0	0.999998	-21.3521628135	0.999742	0.656928	0.999756	0.835046	0.927966	2.1001	0.000967032967031	0.993372	0.0037125	0.835261497466
0.0817333333333	0.015668	0.310845740599	0.0	0.999994	-21.5006214854	0.999672	0.674488	0.999738	0.82141	0.934368	2.1501	0.000615384615383	0.993998	0.00295	0.82167951088
0.0743761904762	0.013304	0.293188027629	0.0	1.0	-21.6410370626	0.999704	0.694368	0.999818	0.80923	0.94019	2.2001	0.000351648351649	0.995006	0.0027	0.809469603002
0.0678333333333	0.011912	0.278898951138	0.0	0.999994	-21.7736387649	0.999728	0.70954	0.999854	0.795666	0.945322	2.2501	0.000527472527473	0.995528	0.0020875	0.795882480035
0.0620357142857	0.01048	0.260702993093	0.0	0.999996	-21.8986450854	0.999696	0.725106	0.999862	0.78151	0.950996	2.3001	8.79120879097e-05	0.996084	0.0017625	0.781747651286
0.0567071428571	0.00982	0.244617037606	0.0	0.999996	-22.0162644818	0.999684	0.737052	0.99988	0.765898	0.955976	2.3501	0.000175824175824	0.996594	0.0014125	0.766140100272
0.051930952381	0.00866	0.232233307751	0.0	1.0	-22.1266960121	0.999706	0.752496	0.999916	0.750446	0.95939	2.4001	0.000439560439558	0.997058	0.001425	0.750666696009
0.0470571428571	0.007528	0.22023637759	0.0	0.999996	-22.2301299192	0.99968	0.767882	0.999944	0.736752	0.963598	2.4501	0.000263736263734	0.997402	0.0011	0.736987836108
0.0433833333333	0.006732	0.206303402405	0.0	1.0	-22.3267481689	0.999708	0.781324	0.999938	0.720784	0.966746	2.5001	0.000263736263734	0.997802	0.000875	0.720994530403
0.0393452380952	0.006052	0.193688411358	0.0	1.0	-22.4167249469	0.999704	0.793834	0.999954	0.705398	0.969964	2.5501	0.0	0.99817	0.0009	0.70560685963
0.0354476190476	0.0051	0.178814018931	0.0	0.999998	-22.5002271176	0.999714	0.807734	0.999962	0.687508	0.973866	2.6001	0.000175824175824	0.998424	0.0006875	0.687704683539
0.0321976190476	0.004592	0.170279866974	0.0	1.0	-22.5774146487	0.999698	0.820454	0.999976	0.673318	0.975702	2.6501	0.0	0.99853	0.0006125	0.673521403464
0.0291857142857	0.003976	0.158375031977	0.0	1.0	-22.6484410042	0.999706	0.831306	0.999976	0.656568	0.978362	2.7001	0.0	0.998784	0.0004375	0.65676108776
0.0265952380952	0.003412	0.145739575339	0.0	1.0	-22.7134535099	0.999696	0.841968	0.999974	0.638944	0.981168	2.7501	0.000175824175824	0.999036	0.0004375	0.639138298043
0.0239380952381	0.003128	0.136566896905	0.0	1.0	-22.7725936918	0.99969	0.852308	0.99996	0.621724	0.982982	2.8001	0.000175824175824	0.999122	0.0004375	0.621916794206
0.0219357142857	0.002844	0.130521360962	0.0	1.0	-22.8259975913	0.999684	0.861258	0.999986	0.605572	0.98431	2.8501	8.79120879097e-05	0.999202	0.0004	0.605763421241
0.0198166666667	0.00244	0.121002814019	0.0	1.0	-22.873796059	0.99968	0.872486	0.999986	0.587272	0.986174	2.9001	0.0	0.999292	0.0003125	0.587459987196
0.0176880952381	0.002224	0.111924277309	0.0	1.0	-22.9161150275	0.999644	0.881136	0.999998	0.570296	0.987686	2.9501	0.0	0.999398	0.0002625	0.570499097679
