br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
8.03921568627e-08	0.0990074818567	0.454299	0.044979	0.112294	0.03530625	0.0106373626374	0.307464285714	0.635103607061	0.953417	0.735902	0.331249	0.996847	0.999914
8.13725490196e-08	0.0949881972806	0.453709	0.043097	0.10813	0.0343375	0.0109450549451	0.300327380952	0.62705346636	0.955145	0.741531	0.338929	0.99707	0.999947
8.23529411765e-08	0.0920627580512	0.454125	0.041808	0.104846	0.03265	0.0100659340659	0.293764285714	0.619813763111	0.957005	0.747089	0.34448	0.997229	0.999924
8.33333333333e-08	0.0885304872545	0.454239	0.040214	0.100824	0.03125625	0.00927472527472	0.287376190476	0.611797390637	0.959111	0.752811	0.351047	0.997332	0.999934
8.43137254902e-08	0.0843672511269	0.453695	0.038277	0.096888	0.02925	0.00861538461538	0.280469047619	0.604560757227	0.960815	0.758843	0.360046	0.997541	0.999938
8.52941176471e-08	0.0819656941151	0.453275	0.037153	0.094066	0.0285	0.008	0.272876190476	0.597048861601	0.962553	0.764797	0.365114	0.997734	0.999959
8.62745098039e-08	0.0784640663425	0.453405	0.035576	0.090434	0.02658125	0.00742857142857	0.267438095238	0.589888974162	0.963837	0.770216	0.373822	0.997839	0.999952
8.72549019608e-08	0.0761841925248	0.453178	0.034525	0.088062	0.0249125	0.00628571428571	0.26134047619	0.583004348938	0.965166	0.776409	0.37792	0.997917	0.999964
8.82352941176e-08	0.0732924892217	0.453921	0.033269	0.08428	0.02383125	0.00720879120879	0.25623452381	0.575410590944	0.966736	0.781426	0.3852	0.998092	0.99996
8.92156862745e-08	0.0705682785761	0.453334	0.031991	0.081572	0.02385	0.00773626373626	0.250667857143	0.569580966999	0.967848	0.785869	0.392788	0.998171	0.999975
9.01960784314e-08	0.0677037555924	0.453963	0.030735	0.07816	0.02196875	0.00685714285714	0.243579761905	0.560677411103	0.969457	0.792758	0.399496	0.998261	0.999963
9.11764705882e-08	0.0647094398926	0.453056	0.029317	0.07495	0.02029375	0.00505494505494	0.237583333333	0.554627782041	0.970584	0.797746	0.407534	0.998414	0.999976
9.21568627451e-08	0.0624183957936	0.453408	0.028301	0.07189	0.01990625	0.00610989010989	0.232167857143	0.54494755692	0.972142	0.802205	0.414518	0.998614	0.999977
9.3137254902e-08	0.0604749524232	0.453477	0.027424	0.070016	0.01919375	0.00536263736264	0.226814285714	0.537554361729	0.973292	0.807466	0.419671	0.998643	0.999979
