br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
1e-07	0.608604572477	0.272893666667	0.166084333333	0.696037333333	0.55861875	0.454710622711	0.849396031746	0.960279355334	0.657941333333	0.264505	0.0469403333333	0.925315333333	0.993122666667
1.23333333333e-07	0.540984125477	0.273793	0.148117666667	0.636406666667	0.48604375	0.373523809524	0.811911507937	0.947465165857	0.690389333333	0.291525	0.0547973333333	0.938001	0.994810333333
1.46666666667e-07	0.48005185376	0.274361333333	0.131707666667	0.581434666667	0.4243625	0.31367032967	0.775410714286	0.933452715955	0.720552333333	0.319622333333	0.0631616666667	0.948387666667	0.996101666667
1.7e-07	0.426050736061	0.274886666667	0.117115666667	0.529331333333	0.3707	0.264014652015	0.737732539683	0.917565617805	0.748778333333	0.348348666667	0.0720966666667	0.957411333333	0.997108
1.93333333333e-07	0.37592799406	0.276088333333	0.103789333333	0.480564666667	0.318902083333	0.21936996337	0.700022222222	0.900239788522	0.775433333333	0.378134666667	0.0834616666667	0.965083666667	0.997865666667
2.16666666667e-07	0.332762104417	0.276985666667	0.0921703333333	0.435858	0.27708125	0.184703296703	0.663788888889	0.881903300077	0.79898	0.408198333333	0.0943493333333	0.971327	0.998393666667
2.4e-07	0.293726150218	0.277867666667	0.081617	0.394148	0.2402875	0.153186813187	0.62578015873	0.862302720218	0.822595666667	0.438309	0.106403333333	0.976615666667	0.998816333333
2.63333333333e-07	0.260315353731	0.278290666667	0.0724433333333	0.35712	0.210139583333	0.126783882784	0.591786904762	0.842232455018	0.841943666667	0.467679666667	0.119064	0.980827666667	0.999126333333
2.86666666667e-07	0.229747010602	0.279432	0.0641986666667	0.323488666667	0.180254166667	0.105157509158	0.557311507937	0.820097211563	0.860224	0.496917666667	0.134306666667	0.984533	0.999368333333
3.1e-07	0.2026521033	0.280155	0.056774	0.291077333333	0.156958333333	0.0906373626374	0.523392063492	0.797233393025	0.877211	0.527149	0.148962	0.987578	0.999523666667
3.33333333333e-07	0.178844433915	0.281391666667	0.0503253333333	0.262249333333	0.13646875	0.0755311355311	0.490471825397	0.773960603735	0.892449333333	0.556211333333	0.164832	0.990028666667	0.999684666667
3.56666666667e-07	0.157214361071	0.281836	0.0443086666667	0.23644	0.118075	0.0618608058608	0.459098412698	0.748711520423	0.906169	0.583911333333	0.181904333333	0.99204	0.999776666667
3.8e-07	0.138579345302	0.282644333333	0.0391686666667	0.213253333333	0.102604166667	0.0536996336996	0.428995238095	0.725035217873	0.918263	0.610521	0.199198	0.993585333333	0.999833666667
4.03333333333e-07	0.123104591297	0.28358	0.03491	0.191579333333	0.08941875	0.0464761904762	0.400366269841	0.699663341008	0.928967333333	0.637064666667	0.217	0.994955333333	0.999874333333
4.26666666667e-07	0.108441577481	0.284208333333	0.03082	0.171885333333	0.0779458333333	0.0374358974359	0.372325396825	0.673724226145	0.938716666667	0.663823666667	0.236098666667	0.995942	0.999911666667
4.5e-07	0.0952798911167	0.284831	0.0271386666667	0.153716666667	0.0676770833333	0.0319267399267	0.345552380952	0.646789119127	0.947525	0.688086333333	0.256565333333	0.996850666667	0.999939666667
4.73333333333e-07	0.0840263117995	0.285803333333	0.024015	0.13863	0.0585666666667	0.02736996337	0.32106031746	0.621933316279	0.95481	0.711522666667	0.276884	0.997479666667	0.99995
4.96666666667e-07	0.0733597012412	0.286965	0.0210516666667	0.123282666667	0.0500875	0.0224322344322	0.297128174603	0.5954378784	0.961122	0.73526	0.299449666667	0.998014	0.999966666667
5.2e-07	0.0655278905922	0.287755333333	0.018856	0.111108	0.04424375	0.0186813186813	0.276086904762	0.571104971433	0.966733666667	0.755778666667	0.319242333333	0.998453	0.999975
5.43333333333e-07	0.0575479884317	0.288489666667	0.016602	0.0994553333333	0.0381291666667	0.0160586080586	0.255073015873	0.544528694466	0.971809666667	0.776148	0.341656	0.998793	0.999982333333
5.66666666667e-07	0.0509354322865	0.289117666667	0.0147263333333	0.0888673333333	0.0334	0.0140366300366	0.235800793651	0.520386117507	0.975877	0.795054333333	0.363534	0.999071	0.999988333333
5.9e-07	0.0448629739352	0.289957	0.0130083333333	0.0788626666667	0.0291958333333	0.0113846153846	0.217407142857	0.494147863904	0.979802	0.813286666667	0.387058666667	0.999288	0.999993333333
6.13333333333e-07	0.0396897930539	0.290687666667	0.0115373333333	0.071132	0.0253104166667	0.00968498168498	0.20109047619	0.470902020977	0.982819666667	0.829614	0.409410666667	0.999441	0.999994333333
6.36666666667e-07	0.0350956410805	0.291593666667	0.0102336666667	0.0635993333333	0.021925	0.00854212454212	0.185452380952	0.44763264262	0.985523666667	0.845030333333	0.431463	0.999584333333	0.999995666667
6.6e-07	0.031055787213	0.292098	0.00907133333333	0.0568613333333	0.0193916666667	0.00698901098901	0.169621825397	0.423014922828	0.988068333333	0.860629666667	0.454801666667	0.999681666667	0.999997
6.83333333333e-07	0.0275849742661	0.292804333333	0.008077	0.0512046666667	0.01684375	0.00627106227106	0.156161111111	0.401333333333	0.989800333333	0.873767666667	0.476236666667	0.999768333333	0.999998666667
7.06666666667e-07	0.0237797345845	0.29413	0.00699433333333	0.0452486666667	0.0144375	0.00496703296703	0.143671825397	0.380000341093	0.991558666667	0.885954333333	0.501092333333	0.999802333333	0.999998666667
