br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
1e-07	0.515497098964	0.178442	0.0919863333333	0.659634	0.505772916667	0.391179487179	0.833313095238	0.955598533299	0.675171666667	0.282916	0.05283	0.930194666667	0.993904333333
1.23333333333e-07	0.438743269186	0.177975	0.0780853333333	0.593754666667	0.428466666667	0.318256410256	0.790342063492	0.940230920099	0.710491666667	0.315395666667	0.062514	0.943556666667	0.995656
1.46666666667e-07	0.371100827005	0.177548333333	0.0658883333333	0.531636666667	0.3610625	0.255047619048	0.747036904762	0.922812654558	0.743504333333	0.349353666667	0.0741676666667	0.954650666667	0.996911
1.7e-07	0.315636284016	0.176595666667	0.05574	0.474966666667	0.306691666667	0.207062271062	0.702960714286	0.903189562548	0.774371	0.383785333333	0.0862093333333	0.963924666667	0.997749
1.93333333333e-07	0.267246951514	0.175852333333	0.046996	0.42299	0.259227083333	0.165450549451	0.660031746032	0.882822546261	0.802103333333	0.418484333333	0.0998916666667	0.971065333333	0.998407333333
2.16666666667e-07	0.226496141662	0.174989	0.0396343333333	0.376862666667	0.219404166667	0.134695970696	0.617664285714	0.859723373412	0.827431333333	0.452642	0.115083	0.977215	0.998905
2.4e-07	0.191651426813	0.174433	0.0334303333333	0.33486	0.1851875	0.107443223443	0.576635714286	0.835900741878	0.84997	0.486938666667	0.131479333333	0.982059	0.999205666667
2.63333333333e-07	0.163013790526	0.173911666667	0.02835	0.297212	0.1574	0.0870036630037	0.537056349206	0.809361985162	0.870332666667	0.520696	0.148667666667	0.986015333333	0.999463666667
2.86666666667e-07	0.137984519963	0.173427666667	0.0239303333333	0.262112666667	0.132935416667	0.0713113553114	0.49735515873	0.782556493562	0.888579666667	0.554896	0.167587666667	0.989174	0.999643666667
3.1e-07	0.11636912449	0.172935333333	0.0201243333333	0.231579333333	0.111866666667	0.0585494505495	0.459972222222	0.754909866121	0.904659	0.58766	0.187531333333	0.991557333333	0.999755666667
3.33333333333e-07	0.098979495326	0.172692333333	0.017093	0.204648666667	0.09523125	0.0478241758242	0.423935714286	0.725523663341	0.919096666667	0.619051333333	0.208583	0.993519333333	0.999828333333
3.56666666667e-07	0.0832647239584	0.172474	0.014361	0.180157333333	0.07981875	0.0380073260073	0.390699603175	0.695121343907	0.931570333333	0.64924	0.231114666667	0.995112	0.999875
3.8e-07	0.0713121901296	0.171644333333	0.0122403333333	0.158964	0.06854375	0.0317802197802	0.359567857143	0.664263665046	0.941982666667	0.678376333333	0.253246	0.996312	0.999922
4.03333333333e-07	0.0592611257559	0.171973333333	0.0101913333333	0.138996666667	0.0568875	0.0262857142857	0.328610714286	0.634603223331	0.951303666667	0.707119666667	0.279499333333	0.997209666667	0.999942666667
4.26666666667e-07	0.0500547035302	0.171226	0.00857066666667	0.122304666667	0.0479916666667	0.0211575091575	0.300871825397	0.603882663938	0.959333333333	0.733286333333	0.303684333333	0.997854666667	0.999960333333
4.5e-07	0.0425661556489	0.170683333333	0.00726533333333	0.106962	0.0409333333333	0.0169230769231	0.274614285714	0.573829965038	0.966248	0.758645666667	0.327967333333	0.998409	0.999979
4.73333333333e-07	0.0360742830002	0.170537	0.006152	0.0944033333333	0.0344979166667	0.0140952380952	0.251095238095	0.543585571757	0.971927666667	0.781398666667	0.354433666667	0.998846666667	0.999982333333
4.96666666667e-07	0.030711864274	0.170205666667	0.00522733333333	0.0829246666667	0.02963125	0.0122051282051	0.22798531746	0.513085017481	0.977028	0.803515	0.378742333333	0.999132333333	0.999991333333
5.2e-07	0.0262956008531	0.169889	0.00446733333333	0.0726906666667	0.02519375	0.00950915750916	0.207779365079	0.484809414172	0.981063666667	0.823217666667	0.405933666667	0.999349333333	0.999993
5.43333333333e-07	0.022049243441	0.170134333333	0.00375133333333	0.0630933333333	0.02119375	0.00805860805861	0.187746825397	0.45628003752	0.984558666667	0.842747666667	0.433859	0.99954	0.999996
5.66666666667e-07	0.0188784205343	0.169576333333	0.00320133333333	0.055646	0.0180458333333	0.0065641025641	0.170775793651	0.428650123646	0.98734	0.859271333333	0.459375	0.999621666667	0.999995666667
5.9e-07	0.0160286756413	0.169342333333	0.00271433333333	0.04887	0.0152875	0.00567032967033	0.154001587302	0.401682271681	0.989780333333	0.875283	0.485548666667	0.999759666667	0.999997333333
6.13333333333e-07	0.0137644065024	0.169107666667	0.00232766666667	0.042546	0.0132	0.00424908424908	0.139492063492	0.376075381598	0.991816666667	0.889776333333	0.513410333333	0.999808333333	0.999998333333
6.36666666667e-07	0.0116752657988	0.169332333333	0.001977	0.037544	0.0112333333333	0.00382417582417	0.126558730159	0.352151445382	0.993373333333	0.902262	0.537205666667	0.999865	0.999999333333
6.6e-07	0.01006108587	0.168669666667	0.001697	0.0327953333333	0.00971666666667	0.00309157509157	0.11375515873	0.328353372559	0.99467	0.914555666667	0.564496333333	0.999906333333	0.999999333333
6.83333333333e-07	0.00824967599013	0.168976333333	0.001394	0.0282553333333	0.0079	0.00238827838828	0.102514285714	0.306781273983	0.995735	0.924733666667	0.591433	0.999927	1.0
7.06666666667e-07	0.00716677087703	0.168462666667	0.00120733333333	0.0250546666667	0.006875	0.00218315018315	0.0924686507937	0.285508996333	0.99658	0.934303666667	0.615023333333	0.999955666667	1.0
